Materias_inscritas;Promedio_estudiantil;Situacion_economica;Situacion_familiar;Horas_estudio_por_semana;Edad;Desercion
7;23;alta;estable;17;22;0
1;97;baja;inestable;10;18;0
3;20;alta;estable;25;28;0
3;10;alta;estable;32;28;0
5;52;media;estable;39;26;0
5;90;baja;inestable;18;24;0
2;72;alta;inestable;31;19;1
4;15;baja;inestable;37;18;0
1;10;media;estable;27;28;1
7;13;baja;inestable;10;19;0
1;42;media;estable;20;20;0
5;78;alta;estable;20;29;0
5;85;media;inestable;40;20;0
2;41;baja;estable;26;25;0
4;85;baja;estable;35;22;0
2;88;baja;estable;8;26;0
7;85;alta;inestable;10;20;1
4;66;baja;inestable;38;23;1
6;29;baja;inestable;5;21;0
1;64;baja;estable;8;25;0
2;44;media;estable;17;29;1
5;2;baja;inestable;24;18;1
2;46;media;estable;24;21;1
6;80;baja;inestable;12;24;0
2;96;media;inestable;37;26;0
1;76;media;inestable;37;18;0
6;60;alta;inestable;16;25;1
5;55;alta;estable;17;19;1
5;7;media;estable;20;21;0
3;31;media;estable;27;21;0
6;56;alta;inestable;15;25;1
3;25;media;estable;17;28;0
3;69;alta;inestable;14;19;1
1;75;alta;inestable;9;24;0
2;7;baja;inestable;18;20;1
5;92;baja;estable;27;26;0
5;19;alta;inestable;30;22;0
2;12;alta;estable;31;29;0
5;44;media;estable;15;25;0
2;7;alta;estable;31;22;0
6;17;alta;estable;0;18;0
1;25;baja;estable;19;26;0
1;83;alta;estable;32;27;0
7;32;media;estable;25;28;0
1;7;alta;estable;19;29;0
2;75;baja;inestable;26;24;1
7;65;baja;inestable;36;21;1
2;15;baja;estable;20;24;0
4;42;baja;estable;20;22;1
7;100;alta;estable;39;27;0
5;10;media;estable;20;26;0
5;80;media;estable;23;19;1
4;93;media;inestable;1;21;0
4;43;alta;estable;15;23;0
1;7;alta;estable;23;28;0
4;86;alta;estable;32;22;0
2;73;media;inestable;18;18;1
3;69;alta;inestable;20;26;1
2;64;alta;estable;11;26;0
7;74;baja;inestable;30;20;0
4;86;baja;inestable;17;21;1
5;66;media;inestable;19;21;0
2;77;baja;inestable;20;27;0
5;76;baja;inestable;12;25;0
2;19;baja;inestable;4;23;0
5;98;alta;inestable;21;19;0
6;48;baja;inestable;21;21;1
2;14;baja;estable;32;18;0
7;4;baja;estable;20;20;0
5;52;alta;inestable;2;21;1
3;40;media;inestable;24;25;0
7;84;alta;estable;27;20;1
1;48;alta;estable;39;22;0
2;100;baja;inestable;38;18;0
3;74;media;estable;28;21;0
1;70;baja;inestable;21;19;0
2;75;baja;estable;6;21;0
3;67;media;inestable;15;22;1
3;22;media;estable;23;20;1
7;25;alta;inestable;29;23;0
6;47;media;estable;25;29;0
3;59;alta;estable;29;19;0
6;65;alta;inestable;17;22;1
4;15;baja;inestable;29;21;0
7;97;baja;estable;6;22;0
5;74;baja;estable;7;26;1
7;86;media;inestable;7;23;1
1;50;media;estable;36;24;0
5;22;alta;estable;3;28;0
5;50;alta;estable;32;25;0
6;54;alta;estable;9;26;1
5;93;media;estable;19;22;0
3;44;alta;inestable;37;25;0
6;83;alta;estable;23;19;0
5;79;media;estable;8;27;1
6;10;baja;inestable;20;26;0
4;45;media;inestable;37;19;1
6;94;alta;inestable;17;29;1
2;87;baja;inestable;23;22;1
3;57;media;inestable;20;23;0
1;25;baja;estable;15;21;0
2;65;baja;estable;9;25;1
2;56;alta;estable;27;27;0
2;78;media;inestable;29;20;0
5;44;alta;inestable;11;28;0
6;100;media;inestable;32;22;0
6;21;media;estable;34;19;0
7;25;media;estable;37;20;0
5;48;baja;estable;6;25;1
3;67;baja;estable;12;28;1
5;5;alta;estable;34;22;0
5;21;media;estable;8;20;0
5;37;media;inestable;0;22;0
3;22;baja;estable;35;26;0
7;63;media;estable;20;20;0
3;88;alta;estable;17;29;0
4;66;media;estable;18;27;1
7;19;media;estable;34;24;0
4;32;baja;inestable;14;25;1
4;19;media;estable;36;22;0
4;69;alta;estable;25;20;0
6;75;alta;inestable;21;28;0
2;43;alta;inestable;13;23;0
2;82;alta;estable;10;29;1
4;24;baja;estable;25;20;1
4;48;media;estable;18;26;0
1;81;baja;estable;36;19;0
2;14;alta;estable;20;20;0
1;26;media;inestable;20;24;1
7;87;baja;inestable;17;27;1
1;20;media;estable;32;25;0
5;100;alta;estable;17;22;0
6;78;alta;inestable;11;22;1
7;25;media;inestable;34;22;1
3;9;media;estable;24;21;0
2;66;alta;estable;24;26;0
4;92;baja;estable;24;23;0
7;37;alta;estable;29;29;1
4;54;media;estable;13;25;0
3;68;baja;estable;1;25;0
7;87;alta;inestable;32;22;0
2;68;media;inestable;5;29;0
7;31;media;inestable;29;26;0
4;89;media;inestable;3;19;1
4;47;baja;estable;15;25;0
5;26;baja;inestable;3;20;1
1;75;baja;inestable;21;24;1
7;31;baja;estable;20;26;0
4;35;media;inestable;7;28;1
6;54;media;estable;15;22;0
2;69;baja;estable;37;28;0
6;12;baja;inestable;18;25;1
3;49;media;inestable;32;21;0
7;94;alta;inestable;37;18;0
5;17;alta;estable;39;18;0
2;28;media;inestable;36;23;0
5;9;baja;estable;13;25;1
1;38;baja;inestable;39;27;0
4;2;media;estable;32;19;0
2;81;alta;inestable;33;28;0
3;47;media;inestable;1;21;1
7;92;media;estable;38;20;0
1;41;media;inestable;31;26;0
1;46;baja;inestable;20;20;0
5;25;baja;estable;3;28;1
1;31;baja;inestable;9;25;1
2;26;alta;inestable;38;24;0
5;74;media;estable;20;18;0
1;69;media;inestable;16;25;0
7;94;alta;estable;34;26;0
3;7;baja;inestable;3;25;0
7;87;media;inestable;17;27;1
6;17;alta;estable;15;27;0
2;72;baja;inestable;14;18;0
3;21;baja;estable;12;28;0
3;62;media;estable;20;28;0
5;49;baja;inestable;7;24;0
4;73;alta;estable;26;26;0
5;0;baja;inestable;37;22;0
2;2;media;estable;20;19;0
2;89;alta;inestable;12;25;1
5;55;baja;inestable;6;26;0
4;6;baja;estable;33;24;1
7;26;baja;inestable;39;29;1
5;14;alta;inestable;14;22;1
2;86;baja;inestable;12;25;1
4;84;media;estable;24;23;0
2;76;alta;inestable;31;29;0
4;31;alta;inestable;18;21;0
4;48;baja;estable;25;18;0
5;83;alta;inestable;29;23;0
5;68;media;estable;38;25;1
5;31;alta;estable;7;20;1
4;52;media;inestable;40;29;0
4;27;baja;estable;16;24;1
2;91;alta;inestable;29;29;0
3;75;media;inestable;23;24;0
5;69;baja;inestable;19;26;0
6;89;media;estable;28;18;0
2;80;alta;estable;16;22;1
2;35;alta;inestable;20;25;0
1;61;media;inestable;20;20;0
5;9;baja;estable;21;22;0
7;89;baja;inestable;8;18;1
2;79;baja;estable;37;26;0
1;95;baja;estable;9;21;1
6;79;media;inestable;16;22;1
6;13;alta;inestable;6;20;1
7;24;media;inestable;21;19;0
5;64;alta;estable;12;29;0
4;38;alta;estable;20;24;0
1;42;media;estable;9;28;0
4;79;media;estable;20;22;1
6;96;baja;inestable;31;28;0
6;85;alta;estable;26;27;1
3;91;baja;inestable;14;20;0
3;49;baja;estable;2;19;0
7;22;media;estable;20;27;0
3;1;baja;inestable;7;23;1
3;14;baja;estable;37;27;1
7;43;baja;inestable;19;23;0
2;43;media;estable;14;20;0
3;62;baja;inestable;30;26;0
2;36;baja;estable;35;18;0
2;4;media;estable;15;20;1
5;31;media;inestable;16;18;1
2;86;media;inestable;17;24;1
2;22;alta;inestable;37;19;0
3;96;media;estable;28;28;0
2;69;alta;estable;10;28;1
4;47;media;estable;7;29;1
7;32;media;estable;9;21;0
3;19;media;estable;11;21;1
7;1;alta;estable;9;25;0
1;83;baja;inestable;26;28;0
3;86;media;estable;5;21;1
2;89;alta;estable;15;20;0
4;53;media;inestable;25;27;0
7;25;baja;inestable;12;29;1
3;1;alta;inestable;3;20;1
4;65;media;inestable;3;22;0
7;96;media;inestable;5;23;0
1;73;media;estable;33;24;0
6;27;baja;estable;26;22;0
1;14;alta;inestable;3;24;1
6;81;media;inestable;16;21;0
5;90;media;estable;11;22;1
6;100;alta;inestable;23;23;0
5;51;baja;estable;21;26;0
3;38;baja;estable;19;23;0
5;75;baja;inestable;13;27;0
4;13;baja;estable;6;28;1
5;30;baja;estable;30;18;0
4;72;media;estable;35;29;0
7;45;media;estable;38;28;0
7;39;media;inestable;2;24;1
6;58;alta;inestable;30;28;1
6;25;baja;inestable;29;28;0
6;90;alta;inestable;38;20;1
5;15;baja;inestable;10;23;0
6;1;baja;estable;30;19;1
5;80;alta;estable;2;29;1
5;92;media;estable;25;24;1
2;95;alta;estable;14;18;0
2;62;media;inestable;31;19;0
5;24;baja;inestable;35;26;0
7;66;media;estable;15;26;0
4;40;baja;inestable;21;24;1
3;54;baja;estable;5;19;1
1;98;media;estable;17;22;0
2;2;baja;inestable;14;21;1
5;26;media;inestable;7;19;1
1;13;alta;inestable;36;19;0
2;32;baja;estable;6;27;0
3;84;baja;inestable;25;25;0
4;9;alta;estable;36;22;0
5;52;baja;inestable;20;25;1
3;80;alta;estable;32;19;1
7;70;alta;inestable;7;19;1
2;90;baja;estable;33;28;0
5;94;alta;estable;11;28;0
1;39;alta;inestable;37;20;0
7;97;alta;estable;28;28;0
7;23;baja;inestable;31;27;1
6;9;alta;inestable;3;25;0
4;48;media;inestable;20;25;0
7;27;media;estable;20;20;0
2;32;alta;inestable;34;18;0
4;46;media;estable;1;24;1
5;12;baja;inestable;38;21;1
6;43;alta;inestable;2;20;1
3;92;baja;estable;25;22;0
4;26;media;estable;28;29;0
1;74;media;inestable;4;23;0
2;73;media;estable;2;18;1
1;28;media;inestable;31;29;0
4;77;baja;estable;20;29;1
6;84;alta;estable;4;26;1
3;39;baja;inestable;31;23;0
3;88;alta;estable;34;20;1
1;6;media;inestable;23;18;0
5;78;media;inestable;6;26;1
5;71;media;estable;1;19;1
6;100;media;inestable;28;27;0
3;85;baja;estable;22;23;1
1;76;alta;estable;26;23;0
1;38;alta;inestable;33;29;0
1;24;media;estable;17;20;1
4;27;baja;inestable;5;28;1
6;50;media;inestable;38;23;0
5;79;alta;estable;22;19;0
5;70;alta;estable;25;25;0
4;48;baja;inestable;37;18;0
2;56;alta;inestable;37;23;0
4;69;baja;inestable;23;18;0
6;14;media;estable;20;26;1
1;98;media;estable;20;26;0
4;1;baja;inestable;27;23;0
1;11;media;estable;16;23;0
6;77;baja;inestable;22;26;1
7;52;media;estable;17;22;1
6;59;media;inestable;20;26;1
3;65;alta;inestable;19;22;1
1;42;alta;inestable;33;21;0
5;33;baja;inestable;34;19;0
4;27;media;inestable;33;19;0
7;4;media;inestable;29;18;0
6;34;media;estable;34;27;0
1;15;alta;inestable;15;20;0
7;37;baja;inestable;5;18;1
2;98;baja;inestable;34;23;0
3;45;baja;inestable;20;28;0
2;43;media;inestable;5;24;1
6;43;baja;estable;20;26;1
2;4;alta;inestable;6;24;1
2;45;alta;inestable;30;21;0
3;45;baja;inestable;20;21;0
3;76;media;inestable;8;25;1
3;64;alta;estable;34;21;0
7;28;alta;estable;11;18;0
3;1;media;inestable;32;26;0
2;62;media;inestable;20;20;0
5;80;baja;estable;29;18;0
5;35;alta;inestable;20;26;0
3;37;alta;estable;14;28;0
7;87;baja;inestable;34;28;1
4;17;baja;estable;1;27;0
1;7;alta;estable;39;27;0
6;27;alta;inestable;26;22;0
7;3;media;inestable;17;29;0
4;37;media;inestable;25;26;1
6;81;alta;inestable;5;20;0
4;63;alta;estable;20;23;0
4;71;media;estable;39;28;0
5;57;baja;inestable;9;29;1
1;62;baja;estable;20;28;0
4;19;alta;inestable;17;29;0
3;59;alta;inestable;26;24;0
6;34;media;inestable;8;22;0
7;80;alta;estable;19;29;0
5;36;baja;inestable;20;25;1
6;74;media;estable;8;27;1
3;62;media;inestable;25;23;0
3;34;baja;estable;23;29;0
4;51;baja;estable;23;23;0
3;17;media;estable;20;24;0
1;56;alta;estable;20;25;0
3;19;baja;inestable;1;29;0
4;58;media;estable;36;19;1
6;67;alta;estable;33;24;0
3;25;alta;inestable;7;26;1
5;12;media;estable;17;18;0
7;20;baja;inestable;31;29;0
5;87;alta;estable;39;18;0
5;94;baja;inestable;38;24;1
6;99;media;estable;36;22;0
2;54;baja;estable;6;18;1
7;41;alta;estable;37;18;0
5;82;media;estable;20;19;0
5;96;alta;inestable;15;28;0
2;98;alta;estable;16;27;0
6;22;media;inestable;18;26;1
7;69;media;inestable;20;29;0
5;43;baja;inestable;10;29;0
4;25;media;inestable;1;20;0
6;64;baja;estable;6;26;0
7;75;media;estable;18;23;0
5;50;alta;estable;11;27;0
5;73;baja;estable;31;23;1
2;89;media;estable;4;24;1
7;26;baja;estable;37;27;1
4;36;baja;inestable;20;28;0
6;39;baja;inestable;36;25;1
3;26;alta;estable;30;28;1
1;64;media;estable;4;20;1
4;59;media;estable;20;25;1
3;55;baja;inestable;5;23;1
4;77;media;estable;40;23;0
7;51;alta;estable;13;28;0
3;100;baja;estable;20;20;0
7;52;alta;inestable;20;23;0
3;13;alta;inestable;20;28;0
4;31;media;estable;30;25;0
2;95;media;inestable;27;24;0
4;82;baja;inestable;19;27;1
7;71;alta;inestable;24;27;1
4;34;media;estable;4;24;0
3;48;baja;estable;35;20;0
1;13;baja;inestable;22;27;0
3;58;media;inestable;2;20;0
5;4;alta;inestable;37;22;0
4;94;baja;estable;20;29;0
6;31;media;inestable;20;22;0
4;87;baja;inestable;34;26;1
2;21;media;estable;33;26;0
7;60;baja;inestable;2;27;0
6;20;alta;inestable;20;22;0
3;32;baja;estable;35;29;0
2;78;media;inestable;36;22;0
4;50;media;inestable;18;23;1
3;47;media;inestable;18;25;0
3;14;alta;inestable;20;23;1
5;2;media;estable;39;28;0
5;93;media;estable;9;29;0
1;56;alta;estable;8;23;0
5;55;media;inestable;26;26;0
7;61;media;estable;10;18;1
6;17;alta;estable;38;21;1
3;71;baja;inestable;0;27;1
5;82;media;estable;0;27;0
1;55;baja;inestable;20;29;0
4;47;alta;inestable;20;19;0
6;90;media;inestable;7;26;0
5;4;media;estable;20;20;0
3;89;alta;estable;16;27;0
4;13;media;inestable;20;28;0
7;40;baja;estable;0;19;0
3;59;baja;inestable;39;25;1
4;49;alta;estable;20;21;0
7;62;media;estable;6;28;0
7;64;media;estable;2;19;1
6;31;alta;estable;22;21;1
3;90;baja;estable;9;24;1
5;17;baja;inestable;12;24;0
5;17;alta;estable;10;18;0
1;40;media;estable;26;29;0
4;74;baja;estable;22;29;0
1;69;media;estable;3;18;1
2;50;baja;estable;20;20;0
5;92;media;inestable;32;19;0
4;35;baja;inestable;3;20;0
6;4;media;inestable;36;21;1
1;33;alta;estable;23;24;0
6;14;baja;estable;38;19;0
6;8;alta;inestable;20;24;0
6;96;baja;inestable;40;22;0
1;80;baja;inestable;26;25;0
2;100;baja;inestable;23;25;0
7;10;media;estable;21;22;0
7;41;baja;inestable;20;27;1
1;62;alta;estable;38;25;0
7;40;media;inestable;26;29;0
3;60;media;estable;4;26;1
7;29;baja;estable;1;24;1
5;12;media;estable;2;23;0
1;74;baja;inestable;24;24;0
7;6;alta;estable;25;24;0
1;57;media;estable;20;20;0
2;41;media;inestable;12;23;1
3;63;alta;inestable;21;23;0
1;44;alta;inestable;21;28;0
5;84;baja;inestable;1;26;1
7;70;media;inestable;11;18;1
5;21;alta;inestable;2;24;1
7;95;media;estable;36;18;0
1;3;alta;estable;29;27;0
6;78;media;inestable;40;21;0
7;38;alta;inestable;12;24;1
6;84;media;estable;35;23;0
3;100;baja;estable;24;23;0
5;40;media;estable;18;22;0
6;40;baja;inestable;9;28;0
5;40;baja;estable;30;24;0
7;27;baja;estable;36;26;0
7;42;media;inestable;20;23;0
3;63;media;inestable;7;27;1
7;5;baja;inestable;28;24;1
3;65;alta;estable;39;26;0
6;30;media;inestable;30;24;0
7;90;media;estable;11;23;0
1;8;media;estable;17;20;0
4;0;media;inestable;15;18;1
2;14;baja;estable;34;27;0
4;22;alta;inestable;20;26;0
4;16;alta;inestable;24;24;0
5;57;alta;inestable;11;20;0
3;70;alta;inestable;38;27;0
5;66;baja;estable;26;26;0
6;97;media;inestable;39;20;0
2;52;media;estable;20;20;0
6;82;baja;estable;33;24;0
1;29;media;inestable;33;19;0
2;9;baja;estable;13;27;1
5;54;alta;inestable;39;24;0
7;41;baja;inestable;1;24;1
7;47;media;inestable;31;18;0
5;81;media;estable;39;27;0
6;22;media;inestable;14;28;1
5;86;alta;inestable;26;19;1
5;3;baja;estable;22;22;1
4;98;baja;inestable;30;21;0
1;72;media;inestable;35;20;0
7;74;baja;inestable;24;27;0
4;64;media;inestable;33;28;0
5;9;baja;inestable;12;25;1
3;94;alta;inestable;9;24;1
4;13;alta;estable;20;26;0
5;91;baja;inestable;27;20;1
7;35;alta;inestable;7;27;1
5;87;alta;inestable;27;18;0
1;27;alta;inestable;16;26;0
6;58;media;estable;32;26;1
2;3;baja;inestable;1;29;0
4;77;baja;estable;20;29;0
4;68;media;inestable;26;18;0
4;95;media;inestable;38;25;0
5;16;alta;estable;29;27;1
1;97;baja;estable;32;18;0
5;36;media;inestable;36;23;1
5;61;alta;inestable;27;26;0
6;89;baja;inestable;12;20;1
3;30;alta;inestable;35;23;0
1;91;baja;inestable;30;20;0
4;27;alta;inestable;17;28;1
2;92;baja;estable;28;22;0
4;52;baja;inestable;35;28;0
5;35;baja;inestable;39;24;0
1;25;baja;inestable;38;28;1
7;85;alta;estable;13;27;1
1;98;media;estable;17;29;0
1;27;baja;estable;4;21;1
3;60;baja;inestable;20;21;0
4;21;baja;estable;35;24;0
3;49;baja;inestable;14;22;0
7;34;alta;inestable;25;18;0
7;81;media;inestable;27;28;1
6;68;media;inestable;31;27;0
2;92;media;inestable;7;29;1
6;10;alta;inestable;12;19;0
5;87;media;inestable;18;23;1
3;37;alta;estable;15;29;0
3;58;alta;estable;39;26;0
6;44;baja;estable;20;24;0
5;43;alta;inestable;19;21;0
1;24;media;estable;20;29;0
5;15;media;inestable;14;29;0
4;19;media;estable;31;19;1
6;53;baja;estable;9;21;1
5;12;baja;inestable;31;22;0
1;34;baja;estable;18;19;0
5;11;alta;inestable;4;18;0
3;62;media;estable;11;21;0
2;3;alta;estable;16;28;0
3;35;alta;estable;20;23;0
7;93;media;inestable;3;18;0
2;92;baja;inestable;26;18;1
7;81;media;estable;29;26;0
5;92;alta;estable;20;22;0
4;8;alta;inestable;30;19;0
5;73;baja;estable;7;28;1
1;9;alta;estable;23;19;0
5;52;alta;inestable;38;21;0
2;7;media;estable;20;28;1
3;58;baja;estable;24;19;0
4;18;media;inestable;29;21;0
7;43;media;inestable;13;28;0
5;43;media;inestable;20;23;0
5;33;alta;inestable;37;24;0
3;52;alta;estable;0;23;1
4;2;baja;inestable;35;21;0
6;86;alta;inestable;9;27;1
7;1;baja;estable;18;20;0
5;59;media;inestable;20;21;0
5;45;media;inestable;33;29;0
6;14;alta;estable;36;22;0
7;98;alta;inestable;38;21;0
2;6;baja;inestable;18;20;1
2;60;alta;estable;20;18;0
1;34;alta;inestable;16;20;0
3;34;alta;inestable;14;28;0
4;68;media;estable;17;22;0
5;48;alta;estable;30;23;0
7;82;alta;inestable;20;29;0
5;94;media;inestable;33;21;0
1;1;media;inestable;30;18;0
7;33;media;estable;1;27;0
7;12;media;inestable;25;24;0
5;63;alta;inestable;17;26;0
3;34;alta;estable;18;23;0
1;97;alta;inestable;33;23;0
3;77;baja;inestable;22;26;0
1;34;media;inestable;35;21;0
5;100;alta;estable;29;22;0
1;25;alta;estable;20;22;0
2;43;alta;inestable;30;29;0
7;6;media;inestable;2;22;1
4;99;media;estable;1;25;0
5;38;media;inestable;3;28;0
6;84;alta;estable;20;18;0
4;78;media;estable;9;27;0
5;12;alta;estable;39;28;1
4;83;baja;estable;22;27;1
2;97;media;estable;26;28;0
4;89;media;inestable;11;20;0
1;3;alta;estable;13;25;0
4;97;media;inestable;13;28;0
5;83;media;inestable;28;26;0
6;18;alta;inestable;19;19;1
6;100;alta;estable;21;29;0
3;30;alta;inestable;24;21;0
7;82;baja;inestable;31;25;0
4;42;alta;inestable;4;22;1
6;63;media;estable;31;18;0
4;1;baja;inestable;23;23;0
7;89;alta;estable;27;26;0
6;21;baja;estable;13;26;0
7;80;baja;inestable;16;28;1
4;87;media;inestable;9;18;0
5;75;baja;estable;39;21;0
4;21;alta;estable;20;18;0
7;83;baja;inestable;40;24;0
5;66;baja;inestable;20;20;1
5;14;media;inestable;9;19;0
3;42;media;inestable;20;25;1
6;13;alta;inestable;2;26;0
1;73;media;estable;36;24;0
5;19;alta;estable;33;23;0
7;22;alta;estable;29;27;0
6;53;media;estable;24;28;0
2;72;baja;estable;23;23;0
4;61;media;inestable;40;26;0
7;61;baja;estable;11;22;0
2;63;baja;inestable;31;22;0
7;73;alta;estable;23;19;0
4;52;alta;estable;39;23;0
3;60;media;inestable;33;29;0
7;52;baja;estable;40;29;0
5;2;media;estable;24;29;0
1;11;alta;estable;20;23;1
5;19;baja;estable;20;23;1
4;24;media;inestable;28;21;0
7;88;media;estable;31;28;0
1;27;alta;estable;0;24;1
5;15;alta;estable;20;26;0
1;50;alta;estable;9;18;0
4;39;alta;estable;20;20;0
3;20;media;estable;6;27;0
3;70;alta;estable;27;26;0
7;75;alta;estable;11;22;1
5;98;media;inestable;14;23;0
2;81;media;inestable;38;25;0
4;81;baja;inestable;10;26;0
5;10;media;estable;4;25;1
5;31;baja;estable;3;20;1
3;96;alta;inestable;20;27;0
7;46;baja;inestable;26;18;0
1;44;baja;inestable;13;28;0
4;96;alta;inestable;28;29;0
1;78;alta;estable;2;22;1
6;17;alta;inestable;34;24;0
6;85;baja;estable;33;19;0
4;5;media;inestable;39;18;0
7;58;media;estable;37;21;0
2;85;media;estable;14;20;0
6;5;alta;estable;16;21;1
3;14;alta;estable;30;18;0
2;93;media;inestable;5;19;1
5;60;alta;estable;13;18;0
6;29;baja;estable;5;20;1
3;45;baja;inestable;18;21;1
5;95;alta;inestable;22;18;1
2;83;media;inestable;8;23;0
4;16;media;inestable;1;19;1
5;92;baja;estable;29;27;0
1;74;alta;inestable;20;29;0
4;83;media;estable;39;28;0
4;83;media;inestable;9;22;0
2;7;alta;estable;27;25;0
2;49;alta;inestable;17;29;1
3;16;media;inestable;2;21;1
3;56;alta;inestable;19;22;0
1;57;alta;inestable;21;26;0
4;75;alta;estable;34;19;0
7;95;media;inestable;29;29;0
1;85;baja;estable;3;29;1
1;26;alta;estable;8;19;0
7;57;media;inestable;12;23;0
7;100;baja;inestable;5;23;0
7;50;media;estable;18;20;1
2;46;media;estable;39;29;0
1;56;media;estable;21;26;0
1;49;baja;estable;30;18;0
5;89;media;estable;27;29;0
7;30;baja;inestable;34;20;1
7;28;alta;inestable;9;25;0
3;94;baja;estable;30;25;0
3;23;media;inestable;35;21;0
4;62;baja;estable;7;25;1
3;67;media;inestable;14;28;0
6;77;alta;estable;39;27;0
4;76;baja;inestable;31;25;1
7;22;alta;inestable;11;18;1
5;7;baja;estable;23;20;1
3;12;media;inestable;16;18;0
5;0;baja;estable;20;19;1
3;62;alta;estable;14;21;0
3;26;baja;inestable;11;20;0
5;80;alta;estable;27;28;0
1;40;alta;inestable;31;23;0
1;8;media;inestable;35;29;0
1;26;baja;estable;6;29;0
6;89;alta;inestable;33;22;0
1;20;media;estable;10;22;1
3;45;media;estable;17;27;1
7;47;media;inestable;36;24;0
2;67;alta;estable;18;24;0
5;13;baja;inestable;20;26;1
7;41;alta;inestable;6;25;1
2;58;media;estable;20;20;0
7;74;alta;inestable;31;19;0
6;61;alta;estable;40;18;0
2;3;media;estable;20;27;0
4;58;baja;estable;35;23;0
1;33;media;estable;30;21;0
6;4;media;inestable;36;20;0
7;31;alta;estable;3;28;1
3;79;media;estable;20;28;0
1;91;alta;estable;16;19;0
1;65;media;inestable;37;19;1
2;34;media;inestable;3;28;1
4;7;baja;estable;29;21;0
1;56;media;inestable;29;18;0
7;24;baja;inestable;40;23;0
7;22;media;estable;31;27;1
5;35;media;estable;20;28;0
5;24;media;inestable;22;22;0
1;16;baja;inestable;15;27;0
2;62;alta;inestable;8;26;0
2;63;baja;estable;10;19;1
3;89;media;inestable;9;26;1
6;36;alta;inestable;22;26;0
6;84;media;inestable;20;27;0
6;4;baja;inestable;37;26;0
4;23;baja;estable;20;27;0
2;73;alta;estable;3;27;1
3;65;baja;estable;10;21;0
5;89;media;inestable;10;22;1
7;72;alta;estable;4;25;1
6;47;media;inestable;20;25;1
5;29;alta;inestable;24;18;1
5;38;alta;estable;23;27;0
